"R0","p.symp","iso_delay_traced_max","iso_delay_untraced_sd_max","sd_contact_rate1","p.trace","p.trace_app","day","scn_id","n.active_Q_05","n.active_Q_25","n.active_Q_50","n.active_Q_75","n.active_Q_95","Quarter","Revenue"
3,0.7,2,1,0.3,0.75,0.5,10,2788,237.8,282.75,324,368.25,417.25,"Rt_Q_75",1.28299968720676
3,0.7,2,1,0.3,0.75,0.75,10,3148,243,281.75,313.5,356.5,407.2,"Rt_Q_75",1.1841918186619
3,0.7,2,1,0.3,0.75,1,10,3508,218.8,268,308,331.5,374.35,"Rt_Q_75",0.978922287390029
3,0.7,2,1,0.3,1,0,10,2140,255.95,288.5,322,372.5,474.15,"Rt_Q_75",1.23784837009878
3,0.7,2,1,0.3,1,0.25,10,2500,246.7,310.75,344.5,382.25,447.1,"Rt_Q_75",1.27447460865278
3,0.7,2,1,0.3,1,0.5,10,2860,242.8,301,324.5,361.5,429.45,"Rt_Q_75",1.18177835236659
3,0.7,2,1,0.3,1,0.75,10,3220,243.15,282.25,320,365.5,432.05,"Rt_Q_75",1.10235191637631
3,0.7,2,1,0.3,1,1,10,3580,212.8,258,297,327.25,379.05,"Rt_Q_75",0.96815786807174
3,0.7,2,1,0.3,0,0,10,1852,238.65,282.75,314.5,361.5,433.25,"Rt_Q_95",1.71757530325746
3,0.7,2,1,0.3,0,0.25,10,2212,234.9,292.75,328,365,420.3,"Rt_Q_95",1.71694661951671
3,0.7,2,1,0.3,0,0.5,10,2572,233.9,282.25,313.5,359.5,409.2,"Rt_Q_95",1.63906879677605
3,0.7,2,1,0.3,0,0.75,10,2932,235.6,276.75,311.5,348.5,411.3,"Rt_Q_95",1.4943331704934
3,0.7,2,1,0.3,0,1,10,3292,207.85,252.75,294.5,326.5,365.5,"Rt_Q_95",1.15433634297648
3,0.7,2,1,0.3,0.25,0,10,1924,247.85,280,318.5,362.25,411.05,"Rt_Q_95",1.67111985236985
3,0.7,2,1,0.3,0.25,0.25,10,2284,239.9,291.5,330,369,423.05,"Rt_Q_95",1.66213101604278
3,0.7,2,1,0.3,0.25,0.5,10,2644,234,284,323,362.25,414.15,"Rt_Q_95",1.59863057584548
3,0.7,2,1,0.3,0.25,0.75,10,3004,228.25,287.75,310,342.25,403.05,"Rt_Q_95",1.37821472370509
3,0.7,2,1,0.3,0.25,1,10,3364,218.95,272,309,339.5,400.1,"Rt_Q_95",1.16486096567772
3,0.7,2,1,0.3,0.5,0,10,1996,241.95,282.75,332,371.25,438.1,"Rt_Q_95",1.61690994936116
3,0.7,2,1,0.3,0.5,0.25,10,2356,229.75,283,312.5,368.25,450.05,"Rt_Q_95",1.56734577813462
3,0.7,2,1,0.3,0.5,0.5,10,2716,247.95,291,326,380.5,433.05,"Rt_Q_95",1.5354687274303
3,0.7,2,1,0.3,0.5,0.75,10,3076,244.85,283.75,312.5,341.5,406.75,"Rt_Q_95",1.38239946155141
3,0.7,2,1,0.3,0.5,1,10,3436,227.85,262.5,306,334.25,377.2,"Rt_Q_95",1.12392875826319
